Data,Aperto,Alto,Basso,Chiusura*,Chiusura aggiustata**,Volume
05 apr 2022,"5,7820","6,2010","5,7710","6,0320","6,0320",158.216
04 apr 2022,"5,7450","5,8570","5,6500","5,7120","5,7120",137.180
01 apr 2022,"5,6270","5,7780","5,5050","5,7200","5,7200",178.521
31 mar 2022,"5,5750","5,8320","5,4540","5,6420","5,6420",159.717
30 mar 2022,"5,3290","5,6240","5,2700","5,6050","5,6050",117.845
29 mar 2022,"5,4530","5,4910","5,2550","5,3360","5,3360",111.300
28 mar 2022,"5,5510","5,6520","5,4190","5,5080","5,5080",33.907
25 mar 2022,"5,4010","5,5770","5,3450","5,5710","5,5710",29.472
24 mar 2022,"5,1150","5,4640","5,0630","5,4010","5,4010",84.230
23 mar 2022,"5,1470","5,3300","5,0920","5,2320","5,2320",74.535
22 mar 2022,"4,9480","5,2040","4,8770","5,1870","5,1870",122.753
21 mar 2022,"4,9090","4,9760","4,7480","4,9000","4,9000",75.457
18 mar 2022,"4,9300","4,9570","4,8110","4,8630","4,8630",67.268
17 mar 2022,"4,7470","5,0010","4,6910","4,9900","4,9900",93.844
16 mar 2022,"4,6250","4,7760","4,5940","4,7480","4,7480",80.521
15 mar 2022,"4,6790","4,6820","4,4590","4,5680","4,5680",86.943
